NAME_2,year,week,u10_mean,u10_min,u10_max,u10_sd,v10_mean,v10_min,v10_max,v10_sd,lai_hv_mean,lai_hv_min,lai_hv_max,lai_hv_sd,lai_lv_mean,lai_lv_min,lai_lv_max,lai_lv_sd,skt_mean,skt_min,skt_max,skt_sd,sp_mean,sp_min,sp_max,sp_sd,tp_mean,tp_min,tp_max,tp_sd,swvl1_mean,swvl1_min,swvl1_max,swvl1_sd
Al Madinah,2019,1,2.8753252803712814,-6.07024374079923,9.95958700251798,3.716399618615227,3.243523413953606,-2.4549657269151965,7.300444376717325,2.4950809916250245,0,0,0,0,0.38363089680080037,0,2.553604329712702,0.26280975412659885,307.86320066602684,294.063892499026,314.95528428827726,3.768395704187746,91932.12071319352,87236.02595257352,97252.07474573879,1740.4118745145324,3.818614060487679e-5,0,0.0014427433631236525,1.1319617799610239e-4,0.017933365128501372,0.009351586596280687,0.16779935003598495,0.013593365641561293
Al Madinah,2019,2,2.5044677763815097,-5.864440988053982,8.76660335048836,3.733203464064588,2.6445164774100265,-3.3597328053955926,7.719859904689049,2.4863528925500473,0,0,0,0,0.38365595025882165,0,2.553604329712702,0.2628193013990474,310.186970575053,301.03462221264,318.9393334669234,3.1993688543462313,91766.11829359212,87043.24810973098,97054.09750049593,1737.8004100806036,4.265906978589564e-5,0,0.002052497665854424,2.0757044948093069e-4,0.012342179972584643,0.007067280701343909,0.06602380909236566,0.006427168133343909
Al Madinah,2019,3,1.7635864249498716,-3.940876239164646,9.088940511321661,3.5421565212217905,1.5283648557828966,-3.343736492235741,6.554079813917413,2.163008313431919,0,0,0,0,0.3836842559809205,0,2.5537212458501344,0.2628485739719486,310.78906036241017,303.91731598965407,318.339827201503,3.181669656446683,91817.43177346652,87183.63197453954,96999.30379827721,1739.3030750559208,1.7289784747730983e-5,0,9.986402939937342e-4,9.351459477277145e-5,0.011416720898353742,0.004575310634140184,0.04658376303046985,0.005357224302084995
Al Madinah,2019,4,3.27374575208844,-0.02464781351325085,8.336322459086318,1.5513532958382295,2.4461951945220295,-4.151355229818501,7.815057475689143,2.1268706955580665,0,0,0,0,0.38371666837545626,0,2.5537212458501344,0.26290272356449684,313.3787181637495,293.6578920266674,322.34738642977345,6.637435132237819,91635.67218332239,87084.84332893352,96661.34264225658,1706.7724965340858,0.002019386386406908,0,0.03004440088280681,0.005211734594352781,0.0338703088525562,3.8183412320055843e-4,0.3566732641349349,0.06686311547480234
Al Madinah,2019,5,-0.6660353200893652,-6.982723096437413,6.508749193782334,3.6794834123710314,1.4643235909385106,-1.728108863090713,7.172473871438511,1.9104140292525955,0,0,0,0,0.38374792318447293,0,2.553838161987567,0.2629575160425725,306.78460327892066,296.4781937489092,319.4176725535107,4.918692310094234,91850.85226038903,87284.42039029955,96879.31758903911,1724.0305246938804,7.892114793812471e-5,0,0.002171608790967422,2.327739901489193e-4,0.08016565205349617,0.01022243635094866,0.26957489097960424,0.05788079612649252
Al Madinah,2019,6,1.0170411750074075,-8.346773283416802,7.969164372065306,5.12713389248057,2.4540062758557695,-4.412758396089249,8.371026896488868,3.1977606609688842,0,0,0,0,0.3837802253327688,0,2.553955078125,0.2630115965834792,309.4036249813222,297.6781105124279,316.4065777362407,4.193557872932058,91742.70938582093,87105.240984504,96877.31781888515,1731.9310201434857,2.3112904811366483e-4,0,0.006620527636247573,6.981063033769376e-4,0.03346515194977653,0.00912382589121366,0.27455213226974506,0.04540926540627147
Al Madinah,2019,7,2.6159709245621054,-7.308421826734792,9.762748435010275,4.786889531159531,1.6669862335956644,-2.6656488758498296,6.412844073335307,2.0775357613372396,0,0,0,0,0.383817488561861,0,2.553955078125,0.2630665325064264,309.53435758617746,298.4792606650109,319.403204830665,4.17406783901611,91762.24660280465,86944.85941815574,97122.48963976165,1757.057006239028,5.964872533689584e-5,0,0.002050131219660127,2.1286073354128372e-4,0.01926745844051318,0.008239578448012347,0.13374242578420056,0.0175615723668292
Al Madinah,2019,8,0.7768408444205526,-6.262973723406393,8.02668456067287,3.5699311667350333,0.2519372067915047,-6.098223587566313,4.266216878079103,2.5266330898852893,0,0,0,0,0.38388506950693047,0,2.553955078125,0.2631058741481899,313.0041950924533,304.31427413523414,325.1396569390016,4.6252443614722445,91799.00249137575,87081.24374265637,97006.1030168007,1745.01595917858,6.789167888871748e-7,0,3.155261592398262e-6,6.634487417665579e-7,0.010644311939313261,0.005184905462407768,0.025482403590438213,0.003184058817794441
Al Madinah,2019,9,5.718895010706722,1.4495871503442654,11.538030619761928,2.3785452489517724,0.6045743217740573,-2.162350242283762,5.398443726612999,1.9797058033419956,0,0,0,0,0.3839591825417151,0,2.553955078125,0.2631448485980887,313.6266160463785,303.4570615566239,320.79843585260124,3.2640994872434437,91498.89978461366,86823.27339279448,96706.13749370546,1738.7447594548694,2.375260397473287e-5,0,7.123003044836838e-4,7.380527439143487e-5,0.009798566269347638,0.0035235920842719426,0.025790550426705333,0.003724127383971235
Al Madinah,2019,10,-0.02061239808792258,-6.230105044202071,9.56180128260203,3.7561832079670276,-0.013976459552105493,-4.378424845892495,5.446042512113047,2.4160181402476377,0,0,0,0,0.38403293727622,0,2.553955078125,0.2631835260645916,316.98470535763465,310.1529045361688,326.67413979332815,3.7042792436974272,91856.74889524048,86935.2605214167,97105.69157046832,1749.797663621,6.761274840848462e-7,0,2.3664461942969617e-6,8.876194460284512e-7,0.00711124482779,-2.7755575615628914e-17,0.023466051466168508,0.0041562275882457145
Al Madinah,2019,11,2.6716214613806755,-6.8236088084710325,12.685446330167373,5.390478562400393,1.6938643661641863,-4.326144212638344,6.84318391273327,2.5122460492615777,0,0,0,0,0.38409919526641056,0,2.553955078125,0.26321864273531936,317.6561019578586,308.088541332617,325.2771003060362,2.960285784832149,91632.98932336335,86947.6590963713,96855.32034719149,1731.5053204451492,5.559753904198952e-5,0,0.0024035205180086214,1.9655499890432147e-4,0.006495372793968426,-2.7755575615628914e-17,0.039717447657126204,0.004850577692881024
Al Madinah,2019,12,5.671153380954314,-1.0073466201788515,12.835969940614442,2.43350697301676,1.720379661050209,-2.7873769174565064,9.497401435330136,3.4097837701211544,0,0,0,0,0.38412099646035425,0,2.553955078125,0.2632292029949037,319.3057254784608,293.71124175466105,329.51343040180495,7.0772584612821365,91234.05526020411,86364.52611947416,96268.18782998642,1706.1383876941657,5.884986844150834e-5,0,0.00229939688545951,2.053065103955143e-4,0.006020920279386288,-2.7755575615628914e-17,0.052706506690212374,0.006183859642670492
Al Madinah,2019,13,4.809529452085869,-2.1177850664794327,11.437930551276036,2.984305229632781,2.4690633498740038,-2.2025361021731458,7.7210303666275735,2.326603396009329,0,0,0,0,0.3841369821651423,0,2.553955078125,0.26323639606012356,319.0764225589201,308.729642301219,327.07381063694174,4.034592269328006,91512.28579911671,86626.496009644,96876.91786485435,1738.511030901261,3.0593095071962897e-6,0,2.6109789677087464e-4,1.405198322469019e-5,0.007243596745949934,-2.7755575615628914e-17,0.03447225259631834,0.004828009750761824
Al Madinah,2019,14,4.600534449853478,0.43289914131964946,10.151196461970452,1.7545574221862468,1.3326148918022833,-3.07492040035433,5.469451750883561,2.157494564496016,0,0,0,0,0.3841519756537711,0,2.553955078125,0.2632431978659445,323.74009404142197,314.6487494104831,334.4622958477265,4.202409206396254,91428.86568413948,86950.05882055606,96349.77845226832,1691.8343112602108,5.1830861836913686e-6,0,2.547873735860781e-4,2.1806325047996055e-5,0.0045505571254461285,-2.7755575615628914e-17,0.02087359873496461,0.004460209575081292
Al Madinah,2019,15,1.7951657893220265,-3.648793203508052,7.898197905601426,2.4981398147367493,0.5593893036097539,-3.501358699957207,6.201380616441657,1.8103620483199916,0,0,0,0,0.38416776842763933,0,2.553955078125,0.26325042045831887,326.36727877786376,311.6620688755153,337.5041345760438,4.9682990265581175,91411.7793877193,86860.06916362749,96388.57399325531,1689.2343220891632,1.0802698568949186e-4,0,0.0018205859388132246,2.3837501103693198e-4,0.011745565931651358,3.349422133336333e-5,0.05767704913608648,0.00687410124635513
Al Madinah,2019,16,5.603996217746876,-1.3199725803381472,9.903934352501569,2.6602097608336415,1.1379432317480629,-2.8763320247844626,6.419086537007445,2.3217799521003153,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,323.71659997893835,316.11360634861444,329.91852664148576,2.612118540867287,91411.45212688929,86867.26833618178,96495.36171947721,1698.8818692611846,1.12045258187731e-4,0,0.002692226953712972,3.580353440472711e-4,0.01142863100760864,-2.7755575615628914e-17,0.044399939799533245,0.005759643432490745
Al Madinah,2019,17,1.2870867269889164,-6.576346699002151,8.611971155140752,4.133968586685841,1.77655714342218,-1.639934063721774,6.983639345356359,1.7086541627401721,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,321.4919138915568,304.5240561164974,335.7707205325883,7.3926654767648605,91577.09447472179,86969.65656806495,96618.14760693087,1684.956561510848,6.948883481856099e-4,0,0.009006694215498007,0.0014440950712935228,0.0359130678777753,2.7465261493372917e-4,0.22686975877954021,0.04811491312885238
Al Madinah,2019,18,3.3791459849069367,-0.26705432264513007,9.222656274448337,1.9019987897717592,2.3326476940642005,-1.055483402417922,6.852547608241476,1.2288763447760116,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,332.73679543891643,316.62088088089325,339.8054067411946,3.785479817518227,91411.08074100355,86992.85390185098,96210.99440358294,1649.3663599889326,7.912420932773392e-5,0,0.004599582586317121,3.5330405136897237e-4,0.01210920326501579,-2.7755575615628914e-17,0.07199247933397462,0.00693044904867708
Al Madinah,2019,19,4.879400225469675,-2.22012618127471,10.561681444306254,2.4136061859186,2.3038386579959607,-2.102266529439441,7.538048150238051,1.5326501662410226,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,327.45800592836,314.26987591846023,336.7165479136287,4.647721620765699,91382.02524036338,86995.25362603574,96235.39159946135,1658.0252505242743,9.023233677253854e-5,0,0.0013015454068638736,1.9876496267342647e-4,0.009798173055716708,-2.7755575615628914e-17,0.032697058865649026,0.00604730546770515
Al Madinah,2019,20,3.3889282418583133,-1.5186786864370068,8.089433857335669,1.799898275755366,1.24374642404262,-3.105352410755999,5.180737806047214,1.6425472572310673,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,330.47442446348236,313.53744744939456,340.2276834017547,4.321365348148047,91268.95167367024,86902.86424492241,96123.80442486992,1648.9983928374058,1.9879765828888113e-4,0,0.0037516060333603538,4.904513498260982e-4,0.013369102376136206,-2.7755575615628914e-17,0.06173654876169257,0.008994892994272901
Al Madinah,2019,21,-1.8913088992648601,-5.922334684379777,4.113444196767322,2.150534772854008,-1.0051786479807885,-4.940636730364357,2.365776843892812,1.3318930785384688,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.2092264448247,327.0937037558546,342.5370936610062,2.9920216969277753,91514.91548272653,87112.44015705828,96358.177486915,1651.5972890598646,2.635893038202341e-6,0,3.8257546807816956e-4,1.771284017448156e-5,0.006543269056723801,-2.7755575615628914e-17,0.025301534795237918,0.004462612935198704
Al Madinah,2019,22,0.17066291195608935,-4.586671083985939,5.67582698212734,2.317483810238803,1.0413997122953227,-4.103756444318455,6.226740625109715,2.0281066784718305,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,333.61017549317137,312.15758838298194,342.8146930931089,4.785239996458546,91295.09180925002,86980.05537286558,96175.79844887309,1637.3021589691432,8.384203947039749e-5,0,0.005208548073649795,3.578037882410791e-4,0.005943670382206351,-2.7755575615628914e-17,0.0984328176545476,0.0083029070061091809
Al Madinah,2019,23,0.5462362810756889,-6.187151656605513,6.855364356300646,3.436953937788336,0.258806013839515,-4.1786660083841,4.848326615505902,1.8792261416730744,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,333.0592720539286,316.50513909812736,342.03705299015024,4.61605941611608,91252.03508900285,87050.84723631605,95965.82258270643,1630.2295375374724,1.0652912901063397e-5,0,7.115114890855825e-4,3.8667471274830285e-5,0.004783353807497208,-2.7755575615628914e-17,0.028851922256576595,0.004769487365082911
Al Madinah,2019,24,5.049764914586815,0.8288173226444449,8.146954045943232,1.372834120979727,-1.328823238637412,-4.322632826822767,2.675559103622624,1.4709963530748627,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,331.7162019562038,324.5374379755476,336.56373259107056,2.2011528103775064,91232.02607334632,86878.467049044,96084.20897582134,1651.661144759927,8.183820290035894e-7,0,1.120117865301036e-4,5.58798228021195e-6,0.001427720793795613,-2.7755575615628914e-17,0.01701506443735884,0.0029574655107497834
Al Madinah,2019,25,1.460801098832284,-3.79931681395512,7.21505228895704,2.330159722165018,-1.9955091982048978,-7.860549113006567,3.345453486438855,2.1426992702454912,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,335.76696930989505,328.59925116448966,342.87075551913614,2.8488925327340864,91205.00513376943,86913.66300375384,96102.20690720706,1644.114041628428,6.761274840848462e-7,0,1.577630796199131e-6,6.573102762324768e-7,2.769503090421617e-4,-2.7755575615628914e-17,0.012634020286952263,0.001308753669148843
Al Madinah,2019,26,3.38027496085299,-5.753882703457624,10.551596735914018,3.9312370213547507,-1.164378854718386,-5.316745166610627,3.6489932824965297,1.745911001833044,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.9742904234249,326.22925731582154,344.9776176585473,3.9377304518479024,91027.73017669335,86648.09352730686,95821.43917758993,1633.0863851546644,3.3806374204192746e-7,0,7.888153980978307e-7,3.9050049299013535e-7,4.190330801889451e-5,-2.7755575615628914e-17,0.006042357528542375,3.762441387555028e-4
Al Madinah,2019,27,3.789442364335513,-2.904018813355559,9.122556205962445,2.553251458713521,1.0110924187244439,-2.5743528446448223,5.138211022280778,1.5539837631456312,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,334.39696535649404,325.52214736173596,341.7232842509332,2.950648390101355,90956.64556046927,86632.09536607511,95913.82855870326,1628.6547708083106,4.338484689545791e-6,0,4.8827673142347663e-4,3.0295077445944115e-5,1.6990145115685238e-4,-2.7755575615628914e-17,0.010175544441081902,9.023645151176241e-4
Al Madinah,2019,28,4.1126913700368,-4.2938410328928835,9.850149241076315,3.4498025865895716,-0.6907026758426169,-3.5392036359695394,3.224895906770704,1.542908695172007,0,0,0,0,0.384173501232115,0,2.553955078125,0.26325305817245276,333.0626881861529,325.4561383762522,342.7504925729809,3.859906492360672,91044.89482337276,86665.69150466178,95883.83200639373,1640.7742379561582,3.380637420424231e-7,0,1.577630796199131e-6,5.748011620464045e-7,5.3898692519054015e-5,-2.7755575615628914e-17,0.006578265069876521,4.080112048055566e-4
